Дата,Час,Код цифровий,Код літерний,Кількість одиниць,Назва валюти,"Офіційний курс гривні, грн"
30.08.2024,00.00,978,EUR,1,Євро,45.7045
31.08.2024,00.00,978,EUR,1,Євро,45.7045
01.09.2024,00.00,978,EUR,1,Євро,45.7045
02.09.2024,00.00,978,EUR,1,Євро,45.5018
03.09.2024,00.00,978,EUR,1,Євро,45.4622
04.09.2024,00.00,978,EUR,1,Євро,45.5431
05.09.2024,00.00,978,EUR,1,Євро,45.6065
06.09.2024,00.00,978,EUR,1,Євро,45.5882
07.09.2024,00.00,978,EUR,1,Євро,45.5882
08.09.2024,00.00,978,EUR,1,Євро,45.5882
09.09.2024,00.00,978,EUR,1,Євро,45.5574
10.09.2024,00.00,978,EUR,1,Євро,45.383
11.09.2024,00.00,978,EUR,1,Євро,45.3774
12.09.2024,00.00,978,EUR,1,Євро,45.4894
13.09.2024,00.00,978,EUR,1,Євро,45.4595
14.09.2024,00.00,978,EUR,1,Євро,45.4595
15.09.2024,00.00,978,EUR,1,Євро,45.4595
16.09.2024,00.00,978,EUR,1,Євро,45.7959
17.09.2024,00.00,978,EUR,1,Євро,46.0079
18.09.2024,00.00,978,EUR,1,Євро,46.1245
19.09.2024,00.00,978,EUR,1,Євро,46.1099
20.09.2024,00.00,978,EUR,1,Євро,46.2396
21.09.2024,00.00,978,EUR,1,Євро,46.2396
22.09.2024,00.00,978,EUR,1,Євро,46.2396
23.09.2024,00.00,978,EUR,1,Євро,46.1486
24.09.2024,00.00,978,EUR,1,Євро,45.9928
25.09.2024,00.00,978,EUR,1,Євро,46.0414
26.09.2024,00.00,978,EUR,1,Євро,46.1958
27.09.2024,00.00,978,EUR,1,Євро,45.9598
28.09.2024,00.00,978,EUR,1,Євро,45.9598
29.09.2024,00.00,978,EUR,1,Євро,45.9598
30.09.2024,00.00,978,EUR,1,Євро,45.9541
01.10.2024,00.00,978,EUR,1,Євро,46.1539
02.10.2024,00.00,978,EUR,1,Євро,45.7106
03.10.2024,00.00,978,EUR,1,Євро,45.7147
04.10.2024,00.00,978,EUR,1,Євро,45.5236
05.10.2024,00.00,978,EUR,1,Євро,45.5236
06.10.2024,00.00,978,EUR,1,Євро,45.5236
07.10.2024,00.00,978,EUR,1,Євро,45.4322
08.10.2024,00.00,978,EUR,1,Євро,45.221
09.10.2024,00.00,978,EUR,1,Євро,45.2437
10.10.2024,00.00,978,EUR,1,Євро,45.1274
11.10.2024,00.00,978,EUR,1,Євро,45.0477
12.10.2024,00.00,978,EUR,1,Євро,45.0477
13.10.2024,00.00,978,EUR,1,Євро,45.0477
14.10.2024,00.00,978,EUR,1,Євро,45.0238
15.10.2024,00.00,978,EUR,1,Євро,44.9575
16.10.2024,00.00,978,EUR,1,Євро,44.9232
17.10.2024,00.00,978,EUR,1,Євро,44.9132
18.10.2024,00.00,978,EUR,1,Євро,44.7937
19.10.2024,00.00,978,EUR,1,Євро,44.7937
20.10.2024,00.00,978,EUR,1,Євро,44.7937
21.10.2024,00.00,978,EUR,1,Євро,44.7272
22.10.2024,00.00,978,EUR,1,Євро,44.813
23.10.2024,00.00,978,EUR,1,Євро,44.7081
24.10.2024,00.00,978,EUR,1,Євро,44.4355
25.10.2024,00.00,978,EUR,1,Євро,44.5413
26.10.2024,00.00,978,EUR,1,Євро,44.5413
27.10.2024,00.00,978,EUR,1,Євро,44.5413
28.10.2024,00.00,978,EUR,1,Євро,44.7136
29.10.2024,00.00,978,EUR,1,Євро,44.6975
30.10.2024,00.00,978,EUR,1,Євро,44.6074
31.10.2024,00.00,978,EUR,1,Євро,44.635
01.11.2024,00.00,978,EUR,1,Євро,44.8467
02.11.2024,00.00,978,EUR,1,Євро,44.8467
03.11.2024,00.00,978,EUR,1,Євро,44.8467
04.11.2024,00.00,978,EUR,1,Євро,44.968
05.11.2024,00.00,978,EUR,1,Євро,45.1417
06.11.2024,00.00,978,EUR,1,Євро,45.1503
07.11.2024,00.00,978,EUR,1,Євро,44.3374
08.11.2024,00.00,978,EUR,1,Євро,44.5642
09.11.2024,00.00,978,EUR,1,Євро,44.5642
10.11.2024,00.00,978,EUR,1,Євро,44.5642
11.11.2024,00.00,978,EUR,1,Євро,44.4864
12.11.2024,00.00,978,EUR,1,Євро,43.9949
13.11.2024,00.00,978,EUR,1,Євро,43.9416
14.11.2024,00.00,978,EUR,1,Євро,43.9499
15.11.2024,00.00,978,EUR,1,Євро,43.4677
16.11.2024,00.00,978,EUR,1,Євро,43.4677
17.11.2024,00.00,978,EUR,1,Євро,43.4677
18.11.2024,00.00,978,EUR,1,Євро,43.6532
19.11.2024,00.00,978,EUR,1,Євро,43.6345
20.11.2024,00.00,978,EUR,1,Євро,43.691
21.11.2024,00.00,978,EUR,1,Євро,43.5635
22.11.2024,00.00,978,EUR,1,Євро,43.4659
23.11.2024,00.00,978,EUR,1,Євро,43.4659
24.11.2024,00.00,978,EUR,1,Євро,43.4659
25.11.2024,00.00,978,EUR,1,Євро,42.9927
26.11.2024,00.00,978,EUR,1,Євро,43.4733
27.11.2024,00.00,978,EUR,1,Євро,43.6824
28.11.2024,00.00,978,EUR,1,Євро,43.8017
29.11.2024,00.00,978,EUR,1,Євро,43.8626
30.11.2024,00.00,978,EUR,1,Євро,43.8626
01.12.2024,00.00,978,EUR,1,Євро,43.8626
02.12.2024,00.00,978,EUR,1,Євро,43.901
03.12.2024,00.00,978,EUR,1,Євро,43.7242
04.12.2024,00.00,978,EUR,1,Євро,43.8238
05.12.2024,00.00,978,EUR,1,Євро,43.7043
06.12.2024,00.00,978,EUR,1,Євро,43.8146
07.12.2024,00.00,978,EUR,1,Євро,43.8146
08.12.2024,00.00,978,EUR,1,Євро,43.8146
09.12.2024,00.00,978,EUR,1,Євро,43.8567
10.12.2024,00.00,978,EUR,1,Євро,43.8525
11.12.2024,00.00,978,EUR,1,Євро,43.8215
12.12.2024,00.00,978,EUR,1,Євро,43.7997
13.12.2024,00.00,978,EUR,1,Євро,43.7042
14.12.2024,00.00,978,EUR,1,Євро,43.7042
15.12.2024,00.00,978,EUR,1,Євро,43.7042
16.12.2024,00.00,978,EUR,1,Євро,43.7373
17.12.2024,00.00,978,EUR,1,Євро,43.8064
18.12.2024,00.00,978,EUR,1,Євро,43.9143
